	X	idx	beta	pval	cilb	ciub	i2	tau2	symbol.x	TE.fixed	lower.fixed	upper.fixed	pval.fixed	TE.random	lower.random	upper.random	pval.random	symbol.y
54	ENSG00000136238.16	18326	0.243807521578898	8.12212908947589e-07	0.146927095759098	0.340687947398697	95.1459325346496	0.0482374498302532	RAC1	1.21165019431902	1.10994469853297	1.32267508041952	1.77184277945748e-05	1.20219320033948	1.06759663825725	1.35375893774051	0.00236840412455607	RAC1
61	ENSG00000145675.13	21810	-0.75630248712932	1.92468165768347e-07	-1.04101093894419	-0.471594035314451	97.8078751456503	0.455519966742715	PIK3R1	0.902206453373852	0.862715398705911	0.943505222846844	6.59102773657843e-06	0.902371329595091	0.851099857105287	0.956731468907391	0.000577429643561547	PIK3R1
66	ENSG00000151276.22	6098	-0.727441726411991	6.85305633639996e-07	-1.01457588874945	-0.440307564074532	98.107458593711	0.452980042634817	MAGI1	0.886686566460158	0.845009221628495	0.930419511429379	9.78126033835904e-07	0.872341066768038	0.806850805998601	0.943147024347543	0.000603619766252034	MAGI1
69	ENSG00000154721.13	4650	-1.74512009752687	5.84561073255935e-08	-2.37578247287655	-1.11445772217719	99.2647450644394	2.23958329410798	JAM2	0.944201180017215	0.910898615138913	0.978721290744243	0.00172461506889507	0.932018232300509	0.874290729022225	0.993557356272142	0.0309206642800493	JAM2
70	ENSG00000158481.11	347	-1.25748756954354	1.47644580461984e-09	-1.66507224591361	-0.849902893173458	93.1486931699474	0.80572117533758	CD1C	0.938045215550061	0.922393512858822	0.953962505318529	9.34093833401287e-14	0.938992997184813	0.920777280588811	0.957569074899731	3.01752956463632e-10	CD1C
71	ENSG00000158488.14	13193	-0.879424366442189	5.25077103768639e-06	-1.25787120452047	-0.500977528363904	88.314571747096	0.612878569221277	CD1E	0.959811654196854	0.946702326476741	0.973102511494391	5.0399486278615e-09	0.957344091493777	0.937335823405026	0.977779453887381	5.22803765268355e-05	CD1E
79	ENSG00000166501.11	21716	-1.38393697052172	1.30618493539257e-06	-1.94450172171028	-0.823372219333164	98.0156476988546	1.69743981784595	PRKCB	0.934115141147804	0.908493295910204	0.960459588254162	1.56292696780304e-06	0.936327040068992	0.897492273481061	0.976842198946084	0.00233415490245443	PRKCB
80	ENSG00000167553.13	1194	0.872751990681448	2.26620235732119e-05	0.469022905890164	1.27648107547273	98.646115921789	0.910123338776384	TUBA1C	1.21004528499406	1.1423717796396	1.28172773332888	8.41183308516285e-11	1.18210302114832	1.06279697295788	1.3148019689207	0.00205645370075604	TUBA1C
86	ENSG00000174175.15	30645	-1.97420497790029	3.65105989070507e-13	-2.50659646779726	-1.44181348800331	97.9783735137599	1.56562147861939	SELP	0.950769277303033	0.932876087877837	0.969005670109649	1.90912067443669e-07	0.941424224177502	0.904991184549103	0.979323981271471	0.00272228662178431	SELP
92	ENSG00000180900.15	8038	0.650278769653281	3.81719760142123e-11	0.457490686610302	0.843066852696261	96.5653063914522	0.207410943238133	SCRIB	1.08048774119688	1.02007891652807	1.14447396173059	0.0083589456697249	1.10087713337887	1.00768930279892	1.2026826715638	0.0331960091252677	SCRIB
95	ENSG00000184216.10	30258	0.720333001060382	5.61517263507926e-10	0.492650975921636	0.948015026199129	98.1132809092226	0.295289558468226	IRAK1	1.15653828190195	1.08561359733367	1.23209657726274	6.66851989496514e-06	1.17302282736749	1.07846713974884	1.27586877968824	0.000197933085495112	IRAK1
99	ENSG00000186951.15	687	-0.613093815636412	2.51745955627884e-05	-0.898300693880576	-0.327886937392248	98.1408672910282	0.45339742105824	PPARA	0.888509640743108	0.838117106383386	0.941932070925091	7.24540236306024e-05	0.874917674737325	0.806055779346232	0.949662488852355	0.00139918950062471	PPARA
100	ENSG00000196230.11	25179	0.583734449646835	3.68711871094359e-11	0.410808940832774	0.756659958460895	96.6325766187351	0.156227690259417	TUBB	1.17930970745953	1.09528455335882	1.26978088191175	1.22362443061442e-05	1.1982286603234	1.0140635582769	1.41584017165555	0.0336711889671738	TUBB
105	ENSG00000241685.7	29540	0.406994007090283	3.18511985319477e-10	0.280164378614977	0.533823635565589	96.6265439480744	0.0878664009258524	ARPC1A	1.14964997287504	1.06420112562541	1.24195984039658	0.000401572953184747	1.18612896595441	1.04473726869067	1.34665620346761	0.00839487689329467	ARPC1A
106	ENSG00000258947.5	3144	2.51025142757578	7.94581021858578e-15	1.87691939968396	3.1435834554676	94.6097941128762	2.1152226734867	TUBB3	1.08272200421095	1.05750980339183	1.10853529172271	3.80588934409615e-11	1.07963256860625	1.03996592790864	1.12081218424084	6.02509355612669e-05	TUBB3
