	SNP	Chromosome	Position	trait1
68	ENSG00000100485	14	50583846	1.46460008415335e-06
69	ENSG00000177606	1	59246464	1.55342148218785e-06
70	ENSG00000064547	19	19734476	1.95519398545264e-06
71	ENSG00000185507	11	612552	3.80903971887208e-06
72	ENSG00000136869	9	120466609	4.00595747735986e-06
73	ENSG00000184113	22	19510546	4.58802725765337e-06
74	ENSG00000132906	1	15817326	4.69090237669804e-06
75	ENSG00000158488	1	158323253	5.25077103768639e-06
76	ENSG00000162631	1	107682628	5.63054188299171e-06
77	ENSG00000135446	12	58141509	6.78555972491194e-06
78	ENSG00000136244	7	22765502	8.57744426091617e-06
79	ENSG00000055208	6	149539776	8.77093077811838e-06
80	ENSG00000127955	7	79764103	1.16480812741074e-05
81	ENSG00000134318	2	11319886	1.35213270631578e-05
82	ENSG00000162706	1	159141398	1.39308788337698e-05
83	ENSG00000111245	12	111348622	1.59292775292225e-05
84	ENSG00000170581	12	56735380	1.65184786605282e-05
85	ENSG00000076928	19	42387227	1.75580610722369e-05
86	ENSG00000104067	15	29991570	1.83149555518571e-05
87	ENSG00000186350	9	137208943	1.85107079549506e-05
88	ENSG00000164342	4	186990305	2.06665251907184e-05
89	ENSG00000167553	12	49582518	2.26620235732119e-05
90	ENSG00000130429	7	98971871	2.3269623179672e-05
91	ENSG00000112276	6	105544696	2.34281889408318e-05
92	ENSG00000186951	22	46546423	2.51745955627884e-05
93	ENSG00000136950	9	127624408	2.64258214046308e-05
94	ENSG00000135828	1	182542768	2.67316796521188e-05
95	ENSG00000137710	11	110045604	2.85358326479981e-05
96	ENSG00000101335	20	35169886	3.00941759628908e-05
97	ENSG00000123374	12	56360552	4.76124164357738e-05
98	ENSG00000128594	7	127667123	6.1762533833616e-05
99	ENSG00000154229	17	64298753	6.34025109780208e-05
100	ENSG00000079337	12	48128454	6.76372573912119e-05
101	ENSG00000213928	14	24630261	7.16886403765839e-05
102	ENSG00000184557	17	76352863	7.18559943407629e-05
103	ENSG00000150455	11	126152959	7.87728833825729e-05
104	ENSG00000164305	4	185548849	8.79522364931174e-05
105	ENSG00000176986	10	75504119	9.34542226610029e-05
106	ENSG00000115415	2	191829083	9.53013702889533e-05
107	ENSG00000077264	23	110187512	0.000102161943754982
108	ENSG00000168040	11	70049268	0.000104218853700195
109	ENSG00000107738	10	73507315	0.000107893186360729
110	ENSG00000164924	8	101928752	0.000118402075233923
111	ENSG00000162434	1	65298911	0.000139975496921185
113	ENSG00000033800	15	68346516	0.000193796229083734
114	ENSG00000150637	18	67498393	0.000204676737289333
115	ENSG00000105443	19	48972288	0.000218710673294572
116	ENSG00000183067	21	41117333	0.000220303371096886
117	ENSG00000131467	17	40976401	0.000220402319028783
118	ENSG00000072415	14	67707825	0.000247547108140424
119	ENSG00000184144	1	205012324	0.000269742887869753
120	ENSG00000124181	20	39765599	0.000271010875310001
121	ENSG00000115053	2	232318241	0.000283215024723359
122	ENSG00000162409	1	57110994	0.000285469509014494
123	ENSG00000164007	1	43198763	0.000291257425503522
124	ENSG00000106617	7	151253196	0.000326467501709906
125	ENSG00000100852	14	32545319	0.000345483678356437
126	ENSG00000003402	2	201980826	0.000374651804577402
127	ENSG00000177707	3	110791014	0.000424607603637941
128	ENSG00000166086	11	133938819	0.000481899561857551
129	ENSG00000055163	5	156693088	0.000510256187781757
130	ENSG00000089127	12	113344581	0.000638832654306664
131	ENSG00000142875	1	84543744	0.000693820091532943
132	ENSG00000158887	1	161274524	0.000729762306366237
133	ENSG00000108622	17	62079953	0.00074162784953871
134	ENSG00000156475	5	145967935	0.000799583498876145
135	ENSG00000188229	9	140135664	0.000829749240928439
136	ENSG00000198910	23	153126968	0.000830114234522872
137	ENSG00000102245	23	135730351	0.000884556555630496
138	ENSG00000122574	7	29846101	0.000901165857754663
139	ENSG00000103490	16	31212805	0.000916165434405282
140	ENSG00000112062	6	35995487	0.00102636553933197
141	ENSG00000085733	11	70244509	0.00103041183472318
142	ENSG00000109063	17	10531842	0.00114731937841788
143	ENSG00000074966	4	48068409	0.00120419250763204
144	ENSG00000091129	7	107788081	0.00131071795596056
145	ENSG00000104825	19	39390339	0.00141820302805853
146	ENSG00000149273	11	75110529	0.00156160991056761
147	ENSG00000206503	6	29909036	0.00156456058702191
148	ENSG00000182985	11	115039955	0.00175305684700011
149	ENSG00000082701	3	119540169	0.00176403682255362
150	ENSG00000120889	8	22877645	0.00180876005060984
151	ENSG00000146938	23	5758677	0.00186865760719283
152	ENSG00000142166	21	34696733	0.00187048361888568
153	ENSG00000111335	12	113416199	0.00208565723204075
154	ENSG00000115592	2	219687105	0.0021524852846275
155	ENSG00000163599	2	204732508	0.00251935399961743
156	ENSG00000196465	12	56546039	0.0025360266132253
157	ENSG00000117020	1	243651534	0.00289073597631869
158	ENSG00000109756	4	160025329	0.00289411581079899
159	ENSG00000171132	2	45878912	0.00304890936284231
160	ENSG00000126934	19	4090318	0.00307820035014334
161	ENSG00000162704	1	183592400	0.00310258270856849
162	ENSG00000102871	16	67188082	0.0034404928573296
163	ENSG00000091428	2	173600001	0.00346669241926573
164	ENSG00000035403	10	75757871	0.00353740833505843
165	ENSG00000169398	8	141667998	0.00365534023543738
166	ENSG00000140832	16	71660063	0.00382931199249972
167	ENSG00000197943	16	81772701	0.00385220939775649
168	ENSG00000055332	2	37326352	0.00385431022747311
169	ENSG00000170027	7	75956115	0.00428300343914236
170	ENSG00000254087	8	56792371	0.00435708717852539
171	ENSG00000110400	11	119508807	0.00449061956702895
172	ENSG00000197965	1	167690428	0.00452279414355007
173	ENSG00000141510	17	7565096	0.00460157370281982
174	ENSG00000174059	1	208057593	0.00466415666346215
175	ENSG00000166128	15	63481667	0.00477528046064816
176	ENSG00000157601	21	42792230	0.00480222412418266
177	ENSG00000067900	18	18526866	0.00491375696881936
178	ENSG00000180370	3	196466727	0.00506125453980156
179	ENSG00000110092	11	69455854	0.00506454354330006
180	ENSG00000109061	17	10395623	0.00535441919453972
181	ENSG00000072062	19	14202499	0.00545349994573401
182	ENSG00000100030	22	22108788	0.00568347191609203
183	ENSG00000197122	20	35973087	0.00578213297399302
184	ENSG00000131409	19	51020148	0.00604609461178605
185	ENSG00000160293	9	136627015	0.00606930738410577
186	ENSG00000187554	1	223282747	0.00616448315000415
187	ENSG00000038427	5	82767283	0.00636959138112337
188	ENSG00000170606	5	132387653	0.00640699589244827
189	ENSG00000183735	12	64845659	0.00658820671844533
190	ENSG00000169760	3	173114073	0.00660964539472873
191	ENSG00000156284	21	31586323	0.00686684760096154
192	ENSG00000091409	2	173292081	0.00731616887721623
193	ENSG00000149564	11	124622025	0.00745069058612837
194	ENSG00000179776	16	66400532	0.00771215773638081
195	ENSG00000138802	4	110354927	0.00802051905570755
196	ENSG00000204252	6	32971954	0.00807257074842802
197	ENSG00000133026	17	8377522	0.00815671030429653
198	ENSG00000234745	6	31321648	0.00865672818101211
199	ENSG00000118046	19	1189405	0.00874802102559747
200	ENSG00000119139	9	71736223	0.00928165211646768
201	ENSG00000158477	1	158223926	0.0094072545344435
202	ENSG00000106299	7	123321988	0.00958246675350877
203	ENSG00000162711	1	247579457	0.00970447100126824
204	ENSG00000240771	12	58003962	0.00981048418856344
205	ENSG00000100906	14	35870716	0.00989183293299293
206	ENSG00000132155	3	12625099	0.0100997424821519
207	ENSG00000173482	18	7566779	0.0105054464729303
208	ENSG00000130164	19	11200037	0.0109779782145538
209	ENSG00000132356	5	40759480	0.0111171767540653
210	ENSG00000130202	19	45349431	0.011429374400761
211	ENSG00000168610	17	40465341	0.0131879020085069
212	ENSG00000073008	19	45147097	0.0134579100120963
213	ENSG00000111679	12	7055630	0.0143341416257518
214	ENSG00000160007	19	47421932	0.0145875235572453
215	ENSG00000163558	3	169940152	0.0145894706472775
216	ENSG00000213281	1	115247089	0.0150109486254363
217	ENSG00000156711	6	36095585	0.0163221446441185
218	ENSG00000051523	16	88709690	0.0171539172584762
219	ENSG00000204525	6	31236525	0.0176303395107471
220	ENSG00000134873	13	96085857	0.0187953289717181
221	ENSG00000169439	8	97505578	0.0193232865473943
222	ENSG00000184574	12	6728000	0.0194926830276034
223	ENSG00000133020	17	10293638	0.0201925090303698
224	ENSG00000107643	10	49514697	0.0203969105454458
225	ENSG00000157625	23	30848453	0.0204079771355146
226	ENSG00000121594	3	119243139	0.0216838973203025
227	ENSG00000012124	19	35810163	0.0245065133878886
228	ENSG00000197442	6	136878184	0.0245340383155729
229	ENSG00000110076	11	64373645	0.0260439494991842
230	ENSG00000108953	17	1247565	0.0266259086828289
231	ENSG00000030110	6	33540328	0.0266537788726839
232	ENSG00000160223	21	45642873	0.026743604761997
233	ENSG00000144847	3	118619403	0.0267798383373566
234	ENSG00000115904	2	39208536	0.0269993764284277
235	ENSG00000137221	6	43445260	0.0270838190371325
236	ENSG00000188130	22	50683878	0.0271447891941936
237	ENSG00000120899	8	27168998	0.027165743078862
238	ENSG00000184009	17	79476996	0.0275163594815298
239	ENSG00000133627	7	152456833	0.0275428799959125
240	ENSG00000110651	11	2397406	0.0279889316679083
241	ENSG00000169429	4	74606222	0.0285622975103725
242	ENSG00000078061	23	47420515	0.0286092204997328
243	ENSG00000143226	1	161475219	0.0314701843078143
244	ENSG00000082126	2	202509592	0.032650533470636
245	ENSG00000128340	22	37621300	0.0350494452525298
246	ENSG00000166025	11	94439596	0.0353088556858542
247	ENSG00000135341	6	91223291	0.0354658601771188
248	ENSG00000064012	2	202098165	0.0358120777559668
249	ENSG00000189143	7	73213871	0.036586714894368
250	ENSG00000001626	7	117120016	0.037856290293752
251	ENSG00000128245	22	32340446	0.038736504497034
252	ENSG00000213937	16	3062456	0.0393622589701388
253	ENSG00000181847	3	113995759	0.0395328497110923
254	ENSG00000198001	12	44152746	0.0406137170229581
255	ENSG00000184697	16	3064712	0.043200093117674
256	ENSG00000104833	19	6494329	0.0447933892921777
257	ENSG00000138798	4	110834039	0.0458108021353676
258	ENSG00000097007	9	133589332	0.0460629866366948
259	ENSG00000204642	6	29690551	0.0484937245480438
260	ENSG00000131791	1	146626684	0.0487904142520067
261	ENSG00000121879	3	178865901	0.050371574865341
263	ENSG00000204592	6	30457243	0.0525647557475884
264	ENSG00000179295	12	112856154	0.0529584558000119
265	ENSG00000066032	2	79412356	0.0532853348557816
266	ENSG00000171608	1	9711789	0.0555802187473672
267	ENSG00000010810	6	111981534	0.055744566380038
268	ENSG00000181885	17	7163221	0.0578978930941853
269	ENSG00000111537	12	68548547	0.0583583758479463
270	ENSG00000126016	23	112017730	0.0606984409773256
271	ENSG00000067560	3	49396577	0.0611011437011716
272	ENSG00000136286	7	45002260	0.0612416386514447
273	ENSG00000171217	6	155585146	0.0624733456877631
274	ENSG00000186575	22	29999544	0.0624926513185805
275	ENSG00000067141	15	73344050	0.0628965711296427
276	ENSG00000062038	16	68678738	0.0649737167212328
277	ENSG00000158195	1	27730729	0.0670790727093537
278	ENSG00000181929	12	49396056	0.069611424253174
279	ENSG00000198502	6	32485119	0.0696592127571054
280	ENSG00000158769	1	160965000	0.0698181033161864
281	ENSG00000134001	14	67826713	0.0725105462731496
282	ENSG00000101162	20	57594308	0.0731387328729898
283	ENSG00000185745	10	91152302	0.0741764847111089
284	ENSG00000095203	9	111934254	0.0761424602078583
285	ENSG00000134308	2	9724100	0.0763631893211546
286	ENSG00000070831	1	22379119	0.0774847202587772
287	ENSG00000102882	16	30125425	0.0819679453079012
288	ENSG00000163600	2	204801470	0.0850362411836706
289	ENSG00000143545	1	153954126	0.0864678300270148
290	ENSG00000213341	10	101948054	0.0891300844827285
291	ENSG00000104408	8	109254121	0.0902571645100132
292	ENSG00000149269	11	77032751	0.0923204590388361
293	ENSG00000145555	5	16665394	0.0926521864998742
294	ENSG00000204010	10	91137812	0.0983247102720641
295	ENSG00000137275	6	3064224	0.0999302920560085
296	ENSG00000104365	8	42128819	0.102996016651827
297	ENSG00000204632	6	29794743	0.104270281661044
298	ENSG00000104880	19	7459998	0.107467825510424
299	ENSG00000092841	12	56551944	0.114012626393236
300	ENSG00000116815	1	117057156	0.124579674070288
301	ENSG00000050820	16	75262927	0.124785995366844
302	ENSG00000026103	10	90750413	0.125413980833373
303	ENSG00000188389	2	242792032	0.125946981458969
304	ENSG00000213445	11	65405567	0.128346660402791
305	ENSG00000006453	7	97920962	0.128449598949184
306	ENSG00000025434	11	47269850	0.130690236533799
307	ENSG00000142949	1	43996546	0.132414137184011
308	ENSG00000137267	6	3153902	0.135026521189782
309	ENSG00000162692	1	101185297	0.136743179594261
310	ENSG00000158485	1	158297740	0.13699759844743
311	ENSG00000158473	1	158149736	0.141761782079447
312	ENSG00000109320	4	103422485	0.143814109333755
313	ENSG00000081237	1	198608145	0.147652271255878
314	ENSG00000196586	6	76458908	0.149202100144231
315	ENSG00000021645	14	78708733	0.149694967534241
316	ENSG00000157483	15	59427112	0.151321858808879
317	ENSG00000154096	11	119288089	0.153123207365426
318	ENSG00000049759	18	55711598	0.153462710793685
319	ENSG00000113263	5	156569943	0.153630216688763
320	ENSG00000162512	1	31342313	0.154091927187523
321	ENSG00000148498	10	34398487	0.159511426995639
322	ENSG00000254999	3	10157275	0.160968905583422
323	ENSG00000131899	17	18128900	0.167133720645154
324	ENSG00000125753	19	46009836	0.167882348248747
325	ENSG00000181104	5	76011867	0.171394731260867
326	ENSG00000116701	1	183524697	0.172015384925733
327	ENSG00000125538	2	113587327	0.173491675783347
328	ENSG00000114353	3	50263723	0.173508978232599
329	ENSG00000039068	16	68771127	0.17356108272341
330	ENSG00000197646	9	5510544	0.174820211204103
331	ENSG00000115884	2	20400557	0.178494994762841
332	ENSG00000071051	2	106361353	0.179030209551626
333	ENSG00000066405	3	137717576	0.180609731414848
334	ENSG00000173039	11	65421066	0.18316765462414
335	ENSG00000115091	2	114647536	0.186239670541705
336	ENSG00000128829	15	40226346	0.187420333878454
337	ENSG00000065135	1	110091232	0.190060768538983
338	ENSG00000178462	10	5435060	0.190262810112603
339	ENSG00000139644	12	50101507	0.197222850207957
340	ENSG00000106631	7	44178462	0.197326424769813
341	ENSG00000106526	7	149941004	0.198140883567047
342	ENSG00000112290	6	110421021	0.20040362935681
344	ENSG00000253958	8	8559447	0.202813828111838
345	ENSG00000113575	5	133530024	0.207553107693857
346	ENSG00000170017	3	105085752	0.21076862927455
347	ENSG00000231389	6	33032345	0.214211557639151
348	ENSG00000196954	11	104813592	0.218854819470375
349	ENSG00000129910	16	89238174	0.224279363286601
350	ENSG00000166913	20	43514316	0.224792645075015
351	ENSG00000104689	8	23047964	0.233336239740548
352	ENSG00000126583	19	54385037	0.234746789202187
353	ENSG00000082458	23	69664710	0.236614403033458
354	ENSG00000175470	10	133747954	0.238765745768915
355	ENSG00000073350	17	73521160	0.240976446125537
356	ENSG00000152939	5	68710938	0.242028769917325
357	ENSG00000172071	2	88856258	0.243102472146273
358	ENSG00000241553	3	9834178	0.244967499279036
359	ENSG00000150782	11	112013973	0.252578461418881
360	ENSG00000132694	1	156904631	0.253837165617848
361	ENSG00000197879	17	1367391	0.254903547121803
362	ENSG00000115935	2	175425497	0.258318899744714
363	ENSG00000006788	17	10201400	0.258499554839348
364	ENSG00000159110	21	34602205	0.258715830570505
365	ENSG00000156299	21	32490733	0.258898469781246
366	ENSG00000221914	8	26149006	0.261119370783479
367	ENSG00000137713	11	111597631	0.26241926150589
368	ENSG00000113946	3	190040329	0.26409606668401
369	ENSG00000078814	20	33563205	0.264251941934429
370	ENSG00000176014	18	12307667	0.264664666084311
371	ENSG00000131323	14	103243812	0.265235869770306
372	ENSG00000105568	19	52693291	0.269458424270634
373	ENSG00000123338	12	54891494	0.270015869682405
374	ENSG00000170558	18	25530929	0.270823236376052
375	ENSG00000130545	19	6463787	0.272121691052122
376	ENSG00000197471	16	29674299	0.273802984327317
377	ENSG00000172115	7	25159709	0.279129054391346
378	ENSG00000163347	3	190023489	0.280931952659522
379	ENSG00000061676	2	183773842	0.297784118466294
380	ENSG00000127666	19	4815943	0.30165706766248
381	ENSG00000127314	12	69004618	0.306769667366183
382	ENSG00000128833	15	52484518	0.314711188247312
383	ENSG00000060138	12	10851682	0.314779669208684
384	ENSG00000167552	12	49578578	0.319521829581029
385	ENSG00000167461	19	16222438	0.322122122436879
386	ENSG00000076984	19	7968727	0.329215949266276
387	ENSG00000153563	2	87011728	0.329936578668126
388	ENSG00000107201	9	32455299	0.332429143067482
389	ENSG00000147145	23	78003205	0.336058444025526
390	ENSG00000158987	5	130759613	0.340723218937637
391	ENSG00000139626	12	53585101	0.342532232880204
392	ENSG00000138069	2	65297834	0.346115103003352
393	ENSG00000076662	19	10444451	0.34905569272075
394	ENSG00000113615	5	133984478	0.34996898250221
395	ENSG00000165215	7	73183327	0.350922217747882
396	ENSG00000196126	6	32546545	0.356278917826636
397	ENSG00000180210	11	46740729	0.363172015071923
398	ENSG00000108669	17	76670129	0.368735600396508
399	ENSG00000137285	6	3224494	0.38433935300994
400	ENSG00000105855	7	20370324	0.384675585834316
401	ENSG00000120868	12	99038918	0.387360264398402
402	ENSG00000138071	2	65454886	0.387522671369475
403	ENSG00000116824	1	117297006	0.396427132595569
404	ENSG00000111725	12	120105557	0.397549618887696
405	ENSG00000146535	7	2767745	0.400256638041129
406	ENSG00000074211	4	6324670	0.404523267887015
407	ENSG00000114013	3	121774212	0.404601417042235
408	ENSG00000010610	12	6896023	0.405888613384646
409	ENSG00000163466	2	219081816	0.40631448339701
410	ENSG00000165806	10	115438941	0.409085632040501
411	ENSG00000090863	16	74485855	0.40976397340395
412	ENSG00000121858	3	172223297	0.410621821031366
413	ENSG00000156232	15	83478379	0.411702543255512
414	ENSG00000141736	17	37844166	0.411952565147832
415	ENSG00000204287	6	32407618	0.414001108674808
416	ENSG00000121966	2	136871918	0.416884509926269
417	ENSG00000109062	17	72744790	0.41755461268701
418	ENSG00000223865	6	33043702	0.419380060188568
419	ENSG00000124171	20	49348080	0.422056702520824
420	ENSG00000249437	5	70264309	0.42361859478036
421	ENSG00000241106	6	32780539	0.424362062752638
422	ENSG00000095015	5	56111400	0.430059799048792
423	ENSG00000008256	7	6201406	0.433753088997971
424	ENSG00000102981	16	67694848	0.436221630027662
425	ENSG00000013725	11	60739114	0.437097401911984
426	ENSG00000073060	12	125261401	0.441270351566127
427	ENSG00000120217	9	5450502	0.447225296581997
428	ENSG00000069869	15	56119119	0.450098253623597
429	ENSG00000138448	2	187454791	0.453285951873505
430	ENSG00000128641	2	192109910	0.463447002000831
431	ENSG00000050748	5	179660142	0.465223781426184
432	ENSG00000118680	18	3261906	0.469959203449965
433	ENSG00000142208	14	105235685	0.470062072476745
434	ENSG00000158092	3	136581049	0.473790093869136
435	ENSG00000160255	21	46305867	0.49330353422319
436	ENSG00000089159	12	120648249	0.501279695544292
437	ENSG00000150961	4	119643977	0.50191554442893
438	ENSG00000232810	6	31543343	0.505827770132818
439	ENSG00000165168	23	37639263	0.506213169010536
440	ENSG00000130402	19	39138288	0.509160010820801
441	ENSG00000140750	16	24930705	0.510864391684489
443	ENSG00000044115	5	137946655	0.523412964246012
444	ENSG00000174469	7	145813452	0.533476622636627
445	ENSG00000124762	6	36644304	0.534076189288269
446	ENSG00000152086	2	130949317	0.545045150945057
447	ENSG00000108797	17	40834630	0.546296742698484
448	ENSG00000120063	17	63006832	0.549954854614358
449	ENSG00000215375	4	667368	0.554446874168156
450	ENSG00000174527	12	109785707	0.554622751281702
451	ENSG00000159261	21	37832918	0.559211812679952
452	ENSG00000179344	6	32627243	0.56374001310372
453	ENSG00000088888	20	3827486	0.570627892554681
454	ENSG00000147065	23	64808256	0.575175983507045
455	ENSG00000157764	7	140434278	0.586907214686867
456	ENSG00000204257	6	32916389	0.587783757243897
457	ENSG00000167306	18	47349182	0.58811593507599
458	ENSG00000067182	12	6437922	0.588145973576752
459	ENSG00000051382	3	138372859	0.589454273246617
460	ENSG00000005844	16	30483978	0.591128887557981
461	ENSG00000168036	3	41280623	0.607808890384447
462	ENSG00000100345	22	36677326	0.611434716959888
463	ENSG00000197535	15	52599479	0.614262999550991
464	ENSG00000169032	15	66679154	0.618723563042151
465	ENSG00000132849	1	62208148	0.625651853099442
466	ENSG00000105357	19	50691442	0.626617415295129
467	ENSG00000087245	16	55423611	0.632935306786358
468	ENSG00000150093	10	33218751	0.633504912261187
469	ENSG00000134258	1	117686208	0.634431679508888
470	ENSG00000143375	1	151482985	0.635630083764499
471	ENSG00000092820	6	159186772	0.636127950333697
472	ENSG00000099866	19	489175	0.63782847868482
473	ENSG00000168421	4	40192672	0.6379362948723
474	ENSG00000105221	19	40736223	0.639495848831996
475	ENSG00000188404	1	169659807	0.648020026997915
476	ENSG00000134215	1	108113781	0.649164647535403
477	ENSG00000146648	7	55086713	0.652156813746553
478	ENSG00000134321	2	7005936	0.653487358403452
479	ENSG00000165376	23	106143393	0.656602558698509
480	ENSG00000136574	8	11534467	0.662634725944021
481	ENSG00000100324	22	39795745	0.66322621770595
482	ENSG00000124145	20	43953927	0.665421199783157
483	ENSG00000157388	3	53528682	0.66823823886603
484	ENSG00000116584	1	155955165	0.681806899619226
485	ENSG00000117461	1	46505811	0.68238646805582
486	ENSG00000105289	19	3708106	0.682760264665002
487	ENSG00000127824	2	220114432	0.693376663724013
488	ENSG00000141968	19	6772724	0.701350599631773
489	ENSG00000165246	24	16634631	0.707978546813429
490	ENSG00000171475	17	38375555	0.712150040213228
491	ENSG00000165527	14	50359809	0.728398270345826
492	ENSG00000185386	22	50702141	0.728527407114861
493	ENSG00000180209	16	30382254	0.728883413169263
494	ENSG00000198561	11	57520714	0.737657901882913
495	ENSG00000101017	20	44746910	0.740184915202459
496	ENSG00000180353	3	121350245	0.74159783130277
497	ENSG00000166866	12	57422300	0.743919628695208
498	ENSG00000133703	12	25357722	0.744103623875998
499	ENSG00000144821	3	108099215	0.746892569901597
500	ENSG00000002586	23	2609219	0.765777681098089
501	ENSG00000117560	1	172628153	0.769831067894487
502	ENSG00000136997	8	128747679	0.780998252055955
503	ENSG00000172936	3	38179968	0.791760692817161
504	ENSG00000264424	17	10346606	0.793979439186157
505	ENSG00000105810	7	92234234	0.798915258076507
506	ENSG00000088827	20	3667616	0.799136249830765
507	ENSG00000101336	20	30639990	0.802882249071692
508	ENSG00000090339	19	10381510	0.807493233056082
509	ENSG00000136754	10	27035521	0.818814571055447
510	ENSG00000176658	17	30819539	0.820924636875676
511	ENSG00000179242	20	59827481	0.8236839318243
512	ENSG00000196358	9	135037333	0.826978527805456
513	ENSG00000075886	2	132233665	0.827512430770196
514	ENSG00000115232	2	182321928	0.828431769434258
515	ENSG00000067606	1	1981908	0.829815128488244
516	ENSG00000142347	19	8585673	0.829867953291717
517	ENSG00000100365	22	37257029	0.841164976348605
518	ENSG00000196735	6	32595955	0.845259080771636
519	ENSG00000237541	6	32709118	0.845285226372314
520	ENSG00000072110	14	69340859	0.848816220548027
521	ENSG00000169992	17	7308192	0.860242969138785
522	ENSG00000170348	14	75598172	0.864452737229998
523	ENSG00000075624	7	5566781	0.866430884672973
524	ENSG00000139687	13	48877886	0.867416467743387
525	ENSG00000242574	6	32902405	0.876756002250556
527	ENSG00000172116	2	87042461	0.880429706509869
528	ENSG00000175866	17	79008947	0.895746188117459
529	ENSG00000183785	22	18593452	0.903682191335327
530	ENSG00000158517	7	74188308	0.906877556371073
531	ENSG00000106404	7	100875372	0.910556495388596
532	ENSG00000075711	3	196769430	0.926158556099205
533	ENSG00000100055	22	37678067	0.926685522077157
534	ENSG00000197822	5	68788118	0.927663888346522
535	ENSG00000002330	11	64037301	0.933813591580659
536	ENSG00000169896	16	31271310	0.935144984454197
537	ENSG00000101608	18	3247478	0.95909605392031
538	ENSG00000178562	2	204571270	0.959789433208179
539	ENSG00000137752	11	104896169	0.97348718705632
540	ENSG00000110876	12	109015685	0.974605150488203
541	ENSG00000123728	23	131337052	0.977676141663402
542	ENSG00000178184	18	77915114	0.979831877229866
543	ENSG00000160505	19	56347943	0.984599444604034
